Main Category,Sub-Category,Topic Words
Calculation Engines,EnergyPlus,"energyplus, doe, openstudio, workshop, energyplus_support, version, idf, available, input, software"
Calculation Engines,eQuest/DOE-2,"equest, file, users, doe2, doe, program, model, trace, version, inp"
Calculation Engines,Trnsys,"trnsys, tess, specialists, thermal, sel, solar, energy, marketplace, software, training"
Calculation Engines,IES,"iesve, software, ies, cfd, thermal, tool, comfort, analysis, daylight, daylighting"
HVAC System Models,Packaged HVAC,"system, vav, hvac, residential, systems, building, electric, baseline, packaged, spaces"
HVAC System Models,Waterside Loop,"water, heat, loop, pump, source, ground, hot, pumps, boiler, chilled"
HVAC System Models,Airside Systems,"fan, power, fans, exhaust, supply, cfm, kw, bhp, motor, vav"
HVAC System Models,Radiant Systems,"cooling, heating, radiant, temperature, coil, load, capacity, system, pipe, sizing"
HVAC System Models,Chilled Water Plants,"chiller, curve, curves, water, chillers, eir, load, chilled, condenser, cop"
HVAC System Models,Energy Recovery,"air, ventilation, outdoor, flow, outside, exhaust, supply, temperature, recovery, minimum"
Non-HVAC System Models,Envelope Models,"wall, roof, exterior, walls, mass, thermal, insulation, space, surface, roofs"
Non-HVAC System Models,Glazing Models,"glass, window, glazing, windows, shgc, value, frame, solar, shading, radiation"
Non-HVAC System Models,Existing Buildings,"existing, building, envelope, orientation, buildings, baseline, leed, windows, performance, renovation"
Simulation Community,List Admin,"onebuilding, available, references, digest, info, options, acknowledgement, post, successfully, entitled"
Simulation Community,IBPSA Events and News,"ibpsa, news, newsletter, conference, us3, affiliate, dinner, latest, event, steven"
Simulation Community,Consulting and Cost,"leed, model, cost, modeling, energy, project, certification, onebuilding, phase, hours"
Simulation Community,Job Posting,"engineering, skills, technical, position, certification, green, energy, job, preferred, leed"
Simulation Community,Simulation Conferences,"simulation, conference, research, building, ac, university, papers, abstracts, performance, harvard"
Simulation Issues,Weather Files,"weather, file, epw, tmy2, locations, tmy3, radiation, solar, climate, tmy"
Simulation Issues,Load Calculations,"loads, load, equipment, lighting, plug, space, occupancy, schedules, schedule, sizing"
Simulation Issues,LEED Appendix G Calc,"baseline, proposed, ashrae, appendix, ventilation, leed, lighting, standard, requirements, minimum"
Simulation Issues,Unmet Hours,"unmet, hours, zones, load, met, throttling, report, ss, total, hrs"
Simulation Issues,Energy Savings,"energy, building, buildings, modeling, commercial, analysis, savings, doe, consumption, efficiency"
Support and Training,Yahoo EnergyPlus Group,"yahoo, energyplus_support, yahoogroups, search, onebuilding, equest, pv, php, simulate, mobile"
Support and Training,Workshops and Training,"designbuilder, training, day, workshop, openstudio, registration, register, hvac, attend, learn"